Description,Price,Rating,Review Count,URL
"Boult Audio ProBass Qcharge in-Ear Earphones with Fast Charging, 20H Battery Life, in-Built Mic, IPX5 Water Resistant Neckband (Black)",₹999,3.8 out of 5 stars,"3,828",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05440661U92OT8XKJIRK&url=%2FBoult-Audio-ProBass-Earphones-Resistant%2Fdp%2FB0987BTSDV%2Fref%3Dsr_1_12_sspa%3Fcrid%3DAWC66IMNQMNW%26keywords%3Dwireless%2Bearphones%26qid%3D1641748218%26smid%3DA14CZOWI0VEHLG%26sprefix%3Dwireless%2Bearphones%252Caps%252C238%26sr%3D8-12-spons%26psc%3D1&qualifier=1641748218&id=2994643577724309&widgetName=sp_mtf
"pTron Tangentbeat Bluetooth 5.0 Wireless Headphones with Deep Bass, Ergonomic Design, IPX4 Sweat/Waterproof Neckband, Magnetic Earbuds, Voice Assistant, Passive Noise Cancelation & Mic - (Black)",₹699,3.9 out of 5 stars,"43,867",https://www.amazon.in/Tangentbeat-Bluetooth-Headphones-Waterproof-Cancelation/dp/B08D77XZX5/ref=sr_1_13?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-13
boAt Rockerz 255 Pro+ Bluetooth Wireless in Ear Earphones with Mic (Teal Green),"₹1,499",4.1 out of 5 stars,"431,855",https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TSSCZR8/ref=sr_1_14?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-14
boAt Rockerz 245v2 Bluetooth Wireless in Ear Earphones with Mic Ocean Blue,₹999,4.0 out of 5 stars,"42,611",https://www.amazon.in/boAt-Rockerz-245v2-Bluetooth-Resistance/dp/B097DW69H1/ref=sr_1_15?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-15
"pTron Tangent Evo with 14Hrs Playback, Bluetooth 5.0 Wireless Headphones with Deep Bass, IPX4 Water Resistance, Ergonomic & Snug-fit, Voice Assistance, Magnetic Earbuds & Built-in HD Mic (Blue)",₹699,3.9 out of 5 stars,"43,867",https://www.amazon.in/Tangent-Evo-Headphones-Resistance-Assistance/dp/B097RXPRMJ/ref=sr_1_16?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-16
realme Buds Wireless 2 Neo Bluetooth in Ear Earphones with Mic (Blue),"₹1,499",4.1 out of 5 stars,"86,062",https://www.amazon.in/realme-Buds-Wireless-Bluetooth-Earphones/dp/B0999NDRFC/ref=sr_1_17?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-17
boAt Rockerz 330 Bluetooth Wireless in Ear Earphones with Mic Teal Green,"₹1,299",4.1 out of 5 stars,"50,789",https://www.amazon.in/boAt-Rockerz-330-Bluetooth-Assistant/dp/B092XFT8TP/ref=sr_1_18?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-18
boAt Rockerz 255 Bluetooth Wireless in Ear Earphones with Mic (Ocean Blue),"₹1,299",4.1 out of 5 stars,"431,855",https://www.amazon.in/Rockerz-255-Bluetooth-Wireless-Immersive/dp/B07T8GQV54/ref=sr_1_19?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-19
"TEQNEQ Sport Wireless Bluetooth Earphone Neckband, Built-in HD Mic Crystal Clear Voice On Call, Home/Office/Gym Earphone High Bass Noise Cancellation Headphone for All Android Smartphone",₹279,3.7 out of 5 stars,265,https://www.amazon.in/TEQNEQ-Bluetooth-Cancellation-Headphone-Smartphone/dp/B09M3NLML7/ref=sr_1_20?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748218&sprefix=wireless+earphones%2Caps%2C238&sr=8-20
"Boult Audio AirBass PowerBuds TWS Earbuds with 120 Hours Total Playtime, Inbuilt Powerbank, Type-C Fast Charging and IPX7 Fully Waterproof (Black)","₹1,799",3.8 out of 5 stars,"10,384",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0189881LQOCM3GTHME1&url=%2FBoult-Audio-PowerBuds-Wireless-Waterproof%2Fdp%2FB08D11DZ2W%2Fref%3Dsr_1_21_sspa%3Fcrid%3DAWC66IMNQMNW%26keywords%3Dwireless%2Bearphones%26qid%3D1641748218%26smid%3DA14CZOWI0VEHLG%26sprefix%3Dwireless%2Bearphones%252Caps%252C238%26sr%3D8-21-spons%26psc%3D1&qualifier=1641748218&id=2994643577724309&widgetName=sp_btf
"Boult Audio AirBass Propods TWS Earbuds with 24H Total Playtime, Type-C Fast Charging, Touch Controls, IPX5 Sweatproof and Voice Assistant (White)","₹1,299",3.5 out of 5 stars,"12,803",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0532096176GGQMK8ZJSX&url=%2FBoult-Audio-Wireless-Earphones-Bluetooth%2Fdp%2FB08D12HZT1%2Fref%3Dsr_1_22_sspa%3Fcrid%3DAWC66IMNQMNW%26keywords%3Dwireless%2Bearphones%26qid%3D1641748218%26smid%3DA14CZOWI0VEHLG%26sprefix%3Dwireless%2Bearphones%252Caps%252C238%26sr%3D8-22-spons%26psc%3D1&qualifier=1641748218&id=2994643577724309&widgetName=sp_btf
"Boult Audio AirBass MuseBuds True Wireless Earbuds with 18H Total Playtime, Deep bass with Sports fit, IPX5 Sweatproof, Voice Assistant and Built in mic (Black)","₹1,499",3.7 out of 5 stars,"10,065",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0957253P1M17JXMLAPV&url=%2FBoult-Audio-Earphones-Bluetooth-Headphone%2Fdp%2FB08CZZBRLG%2Fref%3Dsr_1_17_sspa%3Fcrid%3DAWC66IMNQMNW%26keywords%3Dwireless%2Bearphones%26qid%3D1641748221%26smid%3DA14CZOWI0VEHLG%26sprefix%3Dwireless%2Bearphones%252Caps%252C238%26sr%3D8-17-spons%26psc%3D1&qualifier=1641748221&id=2724894085081939&widgetName=sp_atf_next
